Sample ID,Initial Ammonium (mg/L),Initial Nitrate (mg/L),Final Ammonium (mg/L),Final Nitrate (mg/L),Blank-Corrected Initial Ammonium (mg/L),Blank-Corrected Initial Nitrate (mg/L),Blank-Corrected Final Ammonium (mg/L),Blank-Corrected Final Nitrate (mg/L)
J1,1.5006406,1.0532445,3.649181367,2.333400167,1.394020044,1.168627244,3.522653261,2.4740599
J2,1.533082533,0.60946125,2.71942505,2.02351,1.426461978,0.724843994,2.592896944,2.164169733
J3,1.211612467,1.40676675,3.930836333,3.834793167,1.104991911,1.522149494,3.804308228,3.9754529
J4,1.23299465,1.24881,3.693420367,2.77172075,1.126374094,1.364192744,3.566892261,2.912380483
J5,1.9961174,2.713044,6.599922667,4.550689167,1.889496844,2.828426744,6.473394561,4.6913489
J6,1.57363495,1.85055,4.9114675,3.4403875,1.467014394,1.965932744,4.784939394,3.581047233
J7,1.3325324,1.833835,3.644757467,4.558975,1.225911844,1.949217744,3.518229361,4.699634733
J8,1.02064745,1.680057,2.6906697,4.376686667,0.914026894,1.795439744,2.564141594,4.5173464
J9,1.4962167,2.860136,4.2611542,5.223498833,1.389596144,2.975518744,4.134626094,5.364158567
J10,1.49842865,1.8355065,5.5308135,3.55721775,1.391808094,1.950889244,5.404285394,3.697877483
J11,1.1688481,0.8760655,3.8630032,2.0881395,1.062227544,0.991448244,3.736475094,2.228799233
J12,1.11797325,1.8355065,3.910191467,3.58704675,1.011352694,1.950889244,3.783663361,3.727706483
J13,1.423959667,2.268425,3.8630032,4.666690833,1.317339111,2.383807744,3.736475094,4.807350567
J14,0.975671133,1.108404,1.8412809,2.742720333,0.869050578,1.223786744,1.714752794,2.883380067
J15,1.25069025,1.670028,3.25471695,2.981352333,1.144069694,1.785410744,3.128188844,3.122012067
J16,0.875396067,0.058702,1.35243995,0.7458345,0.768775511,0.174084744,1.225911844,0.886494233
J17,0.963874067,0.209137,1.300090467,1.085553667,0.857253511,0.324519744,1.173562361,1.2262134
J18,0.825258533,-0.064989,0.831157067,0.442573,0.718637978,0.050393744,0.704628961,0.583232733
J19,0.8724468,-0.161936,0.400564133,-0.0993205,0.765826244,-0.046553256,0.274036028,0.041339233
J20,0.741204433,0.219166,0.714661033,3.3409575,0.634583878,0.334548744,0.588132928,3.481617233
J21,0.963874067,0.670471,0.4477524,2.124597167,0.857253511,0.785853744,0.321224294,2.2652569
J22,0.813461467,0.4214175,0.981569667,1.952251833,0.706840911,0.536800244,0.855041561,2.092911567
J23,0.789867333,0.633698,2.6154634,1.973795,0.683246778,0.749080744,2.488935294,2.114454733
J24,0.55171405,0.2442385,1.348753367,0.787263667,0.445093494,0.359621244,1.222225261,0.9279234
J25,0.8812946,0.452279067,1.8147375,1.316443433,0.774674044,0.567661811,1.688209394,1.457103167
J26,0.8812946,1.64163235,0.8503273,4.3064703,0.774674044,1.757015094,0.723799194,4.447130033
J27,0.751526867,0.3503569,0.5450782,0.98259715,0.644906311,0.465739644,0.418550094,1.123256883
J28,0.7043386,0.77843,0.856225833,2.59947735,0.597718044,0.893812744,0.729697728,2.740137083
J29,0.9830443,1.104580933,1.229308067,3.44911185,0.876423744,1.219963678,1.102779961,3.589771583
J30,0.767747833,0.7125726,1.52497205,1.349055667,0.661127278,0.827955344,1.398443944,1.4897154
S1,0.7043386,0.141808467,2.01602495,1.4228623,0.597718044,0.257191211,1.889496844,1.563522033
S2,0.75963735,0.253138833,1.485894267,1.6700287,0.653016794,0.368521578,1.359366161,1.810688433
S3,0.760374667,0.116719933,2.14653,2.2107052,0.653754111,0.232102678,2.020001894,2.351364933
S4,0.732356633,0.170033067,2.0226608,1.4331609,0.625736078,0.285415811,1.896132694,1.573820633
S5,0.7706971,0.300179833,3.9116661,2.904144267,0.664076544,0.415562578,3.785137994,3.044804
S6,0.462498733,0.099471567,1.1644242,1.409130833,0.355878178,0.214854311,1.037896094,1.549790567
S7,0.548027467,0.287635567,0.738255167,2.58917875,0.441406911,0.403018311,0.611727061,2.729838483
S8,0.520009433,0.449143,0.7043386,3.310938967,0.413388878,0.564525744,0.577810494,3.4515987
S9,1.129033,0.51264835,2.63979485,3.3692977,1.022412444,0.628031094,2.513266744,3.509957433
S10,0.901939467,0.235890467,1.99390545,1.72409635,0.795318911,0.351273211,1.867377344,1.864756083
S11,0.786918067,0.0869273,1.84349285,1.1705466,0.680297511,0.202310044,1.716964744,1.311206333
S12,0.8370556,0.3785815,2.422286433,2.543693267,0.730435044,0.493964244,2.295758328,2.684353
S13,1.145253967,0.549497133,2.382471333,4.507293,1.038633411,0.664879878,2.255943228,4.647952733
S14,0.949127733,0.436598733,1.997592033,3.41306675,0.842507178,0.551981478,1.871063928,3.553726483
S15,0.73309395,0.146512567,1.7174117,1.7987612,0.626473394,0.261895311,1.590883594,1.939420933
S16,0.928482867,-0.0588998,1.2882934,0.420465233,0.821862311,0.056482944,1.161765294,0.561124967
S17,0.842954133,-0.0724582,1.121659833,0.674819533,0.736333578,0.042924544,0.995131728,0.815479267
S18,0.6777952,-0.1545878,0.826733167,0.1986421,0.571174644,-0.039205056,0.700205061,0.339301833
S19,0.67115935,-0.1736536,1.162949567,0.3563062,0.564538794,-0.058270856,1.036421461,0.496965933
S20,1.16663615,0.099134,1.0228594,2.69499035,1.060015594,0.214516744,0.896331294,2.835650083
S21,1.3679236,0.0434032,1.431332833,2.4250503,1.261303044,0.158785944,1.304804728,2.565710033
S22,0.9211097,0.1416654,0.665998133,1.8947256,0.814489144,0.257048144,0.539470028,2.035385333
S23,0.738255167,0.1269994,1.525709367,1.553916333,0.631634611,0.242382144,1.399181261,1.694576067
S24,0.803139033,0.3323234,0.69327885,2.69499035,0.696518478,0.447706144,0.566750744,2.835650083
S25,1.2927173,0.077135,1.5935425,1.131886167,1.186096744,0.192517744,1.467014394,1.2725459
S26,1.28608145,0.0800682,1.87003625,1.2640692,1.179460894,0.195450944,1.743508144,1.404728933
S27,1.061199867,0.1006006,0.433006067,1.9855019,0.954579311,0.215983344,0.306477961,2.126161633
S28,0.68000715,0.055136,0.449227033,1.0777389,0.573386594,0.170518744,0.322698928,1.218398633
S29,0.724983467,-0.018194,0.69327885,0.6334128,0.618362911,0.097188744,0.566750744,0.774072533
S30,0.7131864,0.0683354,0.875396067,0.784706633,0.606565844,0.183718144,0.748867961,0.925366367
B1,0.0805687,-0.126325233,0.121858433,-0.144241333,,,,
B2,0.082043333,-0.1341654,0.090891133,-0.17857,,,,
B3,0.157249633,-0.0856576,0.16683475,-0.099167867,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,