Plot,Nmin_June,Nnit_June,Nam_June,Nmin_Sept,Nnit_Sept,Nam_Sept,pH_June,pH_Sept,WHC_June,WHC_Sept,Temp_Sept,TN_June,TC_June,TN_Sept,TC_Sept
1,1.158075145,0.472247431,0.685827713,0.659822155,0.300868051,0.358954104,4.69,4.91,45.63433999,43.52857414,17,0.33,4.56,0.44,5.54
2,0.897659146,0.410994489,0.486664657,0.595319479,0.348315194,0.247004286,4.81,4.89,46.42876206,41.46604999,16.7,0.34,4.7,0.31,4.13
3,1.520511263,0.774411908,0.746099355,0.847159751,0.461848294,0.385311457,4.74,4.83,49.00942138,41.80797783,16.7,0.27,3.85,0.4,5.67
4,1.245189755,0.554839922,0.690349832,0.66617174,0.304550776,0.361620964,4.72,4.85,44.42553718,42.08664373,16.8,0.36,5.35,0.22,3.09
5,3.019902262,1.749236188,1.270666075,1.33840545,0.595328733,0.743076717,4.35,4.49,49.86980217,45.97903588,16.6,0.35,5.13,0.5,7.52
6,1.617516574,0.684972018,0.932544556,0.490569874,0.300975746,0.189594128,4.48,4.75,46.10617797,41.07782417,16.5,0.37,5.47,0.42,6.36
7,1.588626136,0.910013989,0.678612147,0.620193397,0.532744232,0.087449165,4.85,4.61,47.46792362,41.04810578,17,0.51,7.14,0.41,5.35
8,1.367190478,0.875912543,0.491277935,0.75678645,0.675644171,0.081142279,4.69,4.71,46.88488698,39.59827794,16.9,0.3,4.28,0.29,3.89
9,1.828368802,1.031732711,0.796636092,1.16661528,0.68721543,0.479399849,4.6,4.88,45.66392066,42.43534884,16.6,0.42,5.17,0.43,5.01
10,1.768665636,0.711222534,1.057443102,0.712237308,0.360226962,0.352010346,4.88,4.75,45.55822689,44.13273818,16.5,0.39,5.07,0.48,5.84
11,1.143022089,0.418522211,0.724499878,0.574335343,0.252544847,0.321790495,4.98,4.76,43.46082506,42.33760175,16.4,0.38,5.04,0.27,3.57
12,1.455638743,0.714401797,0.741236946,0.963195525,0.522879991,0.440315534,4.7,4.68,45.38530181,43.23693423,16.5,0.37,5.04,0.46,5.97
13,1.654950822,0.928050568,0.726900254,1.341283507,0.915936119,0.425347388,4.38,4.59,41.6735759,45.47705718,16.4,0.37,4.86,0.45,5.85
14,0.860933847,0.546980354,0.313953492,1.047821307,0.697885126,0.349936181,4.63,4.63,41.23993786,45.47953463,16.4,0.33,4.41,0.38,5.59
15,1.190047938,0.587473695,0.602574243,0.677230429,0.379347775,0.297882654,4.7,4.75,45.29942578,38.53463909,16.5,0.5,6.71,0.27,3.56
16,0.385618794,0.168881558,0.216737237,0.303494697,0.106754813,0.196739883,5.34,5.46,35.74422991,26.92581013,17.5,0.31,5.47,0.23,3.89
17,0.430561199,0.231843784,0.198717415,0.321264063,0.159121832,0.162142231,5.31,5.31,37.62990848,40.16702427,17.7,0.28,4.88,0.33,5
18,0.20068395,0.110572775,0.090111175,0.172393886,0.072777279,0.099616607,5.45,5.31,39.60069123,41.33689671,17.4,0.32,5.11,0.34,5.29
19,-0.017001982,0.061858874,-0.078860856,0.283654296,0.104212946,0.17944135,5.17,5.37,41.96228037,41.72503187,17.7,0.35,7.31,0.36,7.42
20,0.753357191,0.68791074,0.065446451,0.680341318,0.558995247,0.121346071,5.15,5.23,39.04573708,45.47899475,17.7,0.33,5.78,0.36,6.54
21,0.369403516,0.432762684,-0.063359169,0.719401744,0.506462786,0.212938959,5.17,5.13,44.76622178,40.36848317,17.5,0.35,5.8,0.26,4.08
22,0.533645172,0.403804998,0.129840174,0.437645639,0.39774949,0.039896149,5.11,5.07,41.8783149,40.8227577,17.4,0.28,5.01,0.36,6.09
23,0.882026522,0.401628933,0.480397589,0.584033314,0.328860219,0.255173095,4.99,5.01,38.99114391,39.37726656,17.6,0.31,5.82,0.28,5.46
24,0.394689804,0.164702622,0.229987182,0.609170706,0.555075755,0.054094952,5.22,5.02,35.18941065,37.55642655,17.5,0.2,3.89,0.33,5.59
25,0.587031872,0.271872503,0.315159369,0.497980112,0.245244777,0.252735335,5.05,5.09,40.85352183,36.28223492,17.6,0.39,7.61,0.3,5.55
26,0.95052799,0.85803554,0.09249245,0.586413865,0.271765991,0.314647874,5.35,5.36,38.2893336,38.26337854,17.9,0.22,4.68,0.37,6.78
27,0.21391753,0.203465827,0.010451704,0.328836579,0.416037268,-0.087200689,5.22,5.29,36.87182829,41.13731049,17.7,0.28,5.42,0.33,6.3
28,0.632178768,0.526832595,0.105346173,0.213541338,0.234106372,-0.020565034,5.24,5.38,42.13217514,40.89065006,17.7,0.31,6.08,0.27,4.9
29,0.87826804,0.697107164,0.181160877,0.208169982,0.147457296,0.060712685,5.26,5.29,42.24934733,42.54588585,17.6,0.39,6.71,0.49,8.3
30,0.522403093,0.268610312,0.253792781,0.283935645,0.174119971,0.109815674,5.15,5.29,35.93669699,38.71088481,18,0.25,4.24,0.23,4.1